epcho,loss,acc
458,0.2565197,0.884375
459,0.27393287,0.8875
460,0.3053922,0.865625
461,0.23992005,0.896875
462,0.26573497,0.878125
463,0.28325093,0.890625
464,0.21779487,0.91875
465,0.3037807,0.84375
466,0.2669374,0.896875
467,0.23392281,0.909375
468,0.22828344,0.921875
469,0.25966334,0.9
470,0.2688596,0.896875
471,0.19202463,0.93125
472,0.22538003,0.921875
473,0.2684626,0.871875
474,0.30674863,0.8875
475,0.22907999,0.9375
476,0.2293478,0.925
477,0.2520166,0.890625
478,0.27640188,0.871875
479,0.23838703,0.90625
480,0.2529265,0.8875
481,0.1586115,0.959375
482,0.21116562,0.896875
483,0.23723161,0.890625
484,0.24720833,0.890625
485,0.21649747,0.91875
486,0.2712807,0.89375
487,0.26324797,0.903125
488,0.22891834,0.934375
489,0.24327245,0.928125
490,0.25770283,0.90625
491,0.2587077,0.884375
492,0.23881717,0.909375
493,0.22497825,0.903125
494,0.20205288,0.915625
495,0.24422733,0.89375
496,0.24332991,0.88125
497,0.24501133,0.884375
498,0.21714671,0.90625
499,0.22942038,0.903125
500,0.23405421,0.909375
501,0.20174026,0.925
502,0.26757503,0.871875
503,0.22907439,0.9125
504,0.21794379,0.925
505,0.2421617,0.921875
506,0.23377886,0.896875
507,0.2243866,0.915625
508,0.21571152,0.9125
509,0.24329117,0.9125
510,0.2667703,0.89375
511,0.20915902,0.91875
512,0.20369348,0.928125
513,0.20242599,0.928125
514,0.25513348,0.896875
515,0.21369335,0.93125
516,0.22852731,0.896875
517,0.2284433,0.9125
518,0.2334472,0.9
519,0.25779313,0.871875
520,0.20932753,0.928125
521,0.233251,0.896875
522,0.17179373,0.940625
523,0.19773696,0.915625
524,0.17355265,0.928125
525,0.19132245,0.91875
526,0.2329305,0.915625
527,0.22179732,0.903125
528,0.1848477,0.940625
529,0.18655047,0.94375
530,0.19504611,0.91875
531,0.20731807,0.9125
532,0.17333165,0.9375
533,0.20745394,0.89375
