epcho,loss,acc
796,0.07747886,0.96875
797,0.053408653,0.9875
798,0.057821263,1.0
799,0.06726329,0.990625
800,0.06720148,0.98125
801,0.052095592,0.99375
802,0.055927396,0.99375
803,0.07593306,0.978125
804,0.066208065,0.984375
805,0.07161279,0.978125
806,0.06642567,0.984375
807,0.07743262,0.990625
808,0.074989736,0.9875
809,0.068648174,0.99375
810,0.057386737,0.98125
811,0.046492606,0.990625
812,0.06256424,0.9875
813,0.06728647,0.984375
814,0.062124442,0.9875
815,0.059302606,0.984375
816,0.06089879,0.990625
817,0.062382482,0.9875
818,0.056776583,0.99375
819,0.070854016,0.971875
820,0.05987803,0.978125
821,0.09478055,0.9625
822,0.052343227,0.99375
823,0.06048218,0.99375
824,0.07257825,0.98125
825,0.086194195,0.975
826,0.070847705,0.990625
827,0.052073408,0.990625
828,0.0656271,0.98125
829,0.057637624,0.984375
830,0.05548681,0.990625
831,0.06872807,0.984375
832,0.06802408,0.984375
833,0.061735224,0.9875
834,0.07853754,0.978125
835,0.03869509,1.0
836,0.05686597,0.98125
837,0.06812623,0.9875
838,0.057300963,0.9875
839,0.057659525,0.984375
840,0.05378909,0.99375
841,0.051411092,0.9875
842,0.05087802,0.990625
843,0.06550407,0.9875
844,0.059584342,0.990625
845,0.061382752,0.984375
846,0.05022067,0.990625
847,0.05552522,0.990625
848,0.050546385,0.990625
849,0.06418041,0.98125
850,0.05255983,0.990625
851,0.066138424,0.990625
852,0.07979801,0.96875
853,0.060861528,0.99375
854,0.06589104,0.984375
855,0.07936879,0.96875
856,0.055852305,0.990625
857,0.044193655,0.996875
858,0.03435847,1.0
859,0.06740538,0.984375
860,0.038045138,0.99375
861,0.057796616,0.9875
862,0.05870376,0.990625
863,0.056820966,0.99375
864,0.052536525,0.990625
865,0.061688054,0.984375
866,0.08132925,0.975
867,0.048543,0.996875
868,0.056602668,0.990625
869,0.056860186,0.990625
870,0.07981773,0.98125
871,0.046862785,0.99375
872,0.05057183,0.9875
873,0.050120044,0.990625
874,0.07407049,0.978125
875,0.04236282,0.990625
876,0.052331425,0.984375
877,0.06711222,0.98125
878,0.042603694,0.996875
879,0.065458976,0.984375
880,0.047926255,0.99375
881,0.045004927,0.996875
882,0.05401529,0.99375
883,0.06677649,0.984375
884,0.05272628,0.9875
885,0.048663083,1.0
886,0.049625535,0.990625
887,0.043714352,0.99375
888,0.048495732,0.99375
889,0.033181034,0.99375
890,0.05159065,0.98125
891,0.056206293,0.98125
892,0.05356761,0.9875
893,0.050377823,0.996875
894,0.05481071,0.9875
895,0.052633386,0.990625
896,0.05795003,0.99375
